scientificName,phylum,class,order,family,genus,target_group,Genus,FBname,Length,LTypeMaxM,DemersPelag,DepthRangeShallow,DepthRangeDeep,BodyShapeI,AnaCat,Importance,MainCatchingMethod
Callionymus bairdi,Chordata,Teleostei,Callionymiformes,Callionymidae,Callionymus,fish,Callionymus,Lancer dragonet,11.399999618530273,TL,reef-associated,1,91,elongated,oceanodromous,commercial,NA
Gambusia holbrooki,Chordata,Teleostei,Cyprinodontiformes,Poeciliidae,Gambusia,fish,Gambusia,Eastern mosquitofish,4.699999809265137,TL,benthopelagic,NA,NA,fusiform / normal,potamodromous,commercial,NA
Hygophum macrochir,Chordata,Teleostei,Myctophiformes,Myctophidae,Hygophum,fish,Hygophum,Large-finned lanternfish,6,SL,pelagic-oceanic,0,750,elongated,oceanodromous,NA,NA
Megalops atlanticus,Chordata,Teleostei,Elopiformes,Megalopidae,Megalops,fish,Megalops,Tarpon,250,TL,reef-associated,0,40,fusiform / normal,amphidromous,commercial,NA
Apogon maculatus,Chordata,Teleostei,Kurtiformes,Apogonidae,Apogon,fish,Apogon,Flamefish,11.100000381469727,TL,reef-associated,0,128,fusiform / normal,NA,commercial,NA
Exocoetus volitans,Chordata,Teleostei,Beloniformes,Exocoetidae,Exocoetus,fish,Exocoetus,Tropical two-wing flyingfish,30,TL,pelagic-neritic,0,20,elongated,oceanodromous,commercial,NA
Bathytroctes microlepis,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Bathytroctes,fish,Bathytroctes,Smallscale smooth-head,32.29999923706055,SL,bathypelagic,0,4900,elongated,NA,NA,NA
Lepidion lepidion,Chordata,Teleostei,Gadiformes,Moridae,Lepidion,fish,Lepidion,Mediterranean codling,88.9000015258789,TL,bathypelagic,127,2307,fusiform / normal,NA,minor commercial,trawls
Leptacanthichthys gracilispinis,Chordata,Teleostei,Lophiiformes,Oneirodidae,Leptacanthichthys,fish,Leptacanthichthys,Plainchin dreamarm,0.800000011920929,SL,bathypelagic,0,2000,short and / or deep,NA,NA,NA
Masturus lanceolatus,Chordata,Teleostei,Tetraodontiformes,Molidae,Masturus,fish,Masturus,Sharptail mola,337,TL,bathypelagic,NA,670,short and / or deep,NA,NA,NA
Labrisomus nuchipinnis,Chordata,Teleostei,Blenniiformes,Labrisomidae,Labrisomus,fish,Labrisomus,Hairy blenny,23,TL,reef-associated,0,10,fusiform / normal,non-migratory,commercial,NA
Eucinostomus gula,Chordata,Teleostei,Eupercaria incertae sedis,Gerreidae,Eucinostomus,fish,Eucinostomus,Jenny mojarra,25.5,TL,reef-associated,0,55,fusiform / normal,NA,minor commercial,various gears
Hypanus americanus,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Hypanus,fish,Hypanus,Southern stingray,200,WD,reef-associated,0,53,other,NA,commercial,gillnets
Platybelone argalus,Chordata,Teleostei,Beloniformes,Belonidae,Platybelone,fish,Platybelone,Keeltail needlefish,50,TL,reef-associated,0,NA,eel-like,NA,subsistence fisheries,castnets
Poecilopsetta beanii,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Poecilopsetta,fish,Poecilopsetta,Deepwater dab,10.670000076293945,SL,bathydemersal,155,1636,short and / or deep,NA,of no interest,NA
Istiophorus albicans,Chordata,Teleostei,Carangiformes,Istiophoridae,Istiophorus,fish,Istiophorus,Atlantic sailfish,315,TL,pelagic-oceanic,0,200,elongated,oceanodromous,commercial,hooks and lines
Trachurus trachurus,Chordata,Teleostei,Carangiformes,Carangidae,Trachurus,fish,Trachurus,Atlantic horse mackerel,70,TL,pelagic-neritic,0,1050,fusiform / normal,oceanodromous,highly commercial,seines
Centrodraco acanthopoma,Chordata,Teleostei,Callionymiformes,Draconettidae,Centrodraco,fish,Centrodraco,North Atlantic slope dragonet,11,SL,bathydemersal,170,594,elongated,NA,NA,NA
Polymetme corythaeola,Chordata,Teleostei,Stomiiformes,Phosichthyidae,Polymetme,fish,Polymetme,Rendezvous fish,26,SL,benthopelagic,165,800,elongated,NA,NA,NA
Neoepinnula americana,Chordata,Teleostei,Scombriformes,Gempylidae,Neoepinnula,fish,Neoepinnula,American sackfish,22,SL,benthopelagic,184,457,fusiform / normal,NA,NA,NA
Amblyraja hyperborea,Chordata,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,fish,Amblyraja,Arctic skate,112,TL,bathydemersal,92,2925,other,NA,of no interest,NA
Plectrypops retrospinis,Chordata,Teleostei,Holocentriformes,Holocentridae,Plectrypops,fish,Plectrypops,Cardinal soldierfish,15,TL,reef-associated,NA,22,short and / or deep,NA,of no interest,NA
Himantolophus groenlandicus,Chordata,Teleostei,Lophiiformes,Himantolophidae,Himantolophus,fish,Himantolophus,Atlantic footballfish,4,SL,bathypelagic,NA,1830,short and / or deep,NA,of no interest,NA
Caraibops trispinosus,Chordata,Teleostei,Acropomatiformes,Acropomatidae,Caraibops,fish,Caraibops,Threespine bass,11.5,TL,bathydemersal,36,550,fusiform / normal,NA,NA,trawls
Rajella lintea,Chordata,Elasmobranchii,Rajiformes,Rajidae,Rajella,fish,Rajella,Sailray,125,TL,bathydemersal,150,2117,other,NA,commercial,NA
Malacoraja spinacidermis,Chordata,Elasmobranchii,Rajiformes,Rajidae,Malacoraja,fish,Malacoraja,Soft skate,70,TL,bathydemersal,450,1570,other,NA,NA,trawls
Cephalopholis cruentata,Chordata,Teleostei,Perciformes,Epinephelidae,Cephalopholis,fish,Cephalopholis,Graysby,42.599998474121094,TL,reef-associated,0,170,fusiform / normal,non-migratory,minor commercial,seines
Symphurus pusillus,Chordata,Teleostei,Pleuronectiformes,Cynoglossidae,Symphurus,fish,Symphurus,Northern tonguefish,7.5,TL,demersal,102,233,short and / or deep,NA,NA,NA
Anchoa lyolepis,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,fish,Anchoa,Shortfinger anchovy,12,TL,reef-associated,1,54,elongated,NA,subsistence fisheries,seines
Photostylus pycnopterus,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Photostylus,fish,Photostylus,Starry smooth-head,13,SL,bathypelagic,701,2868,elongated,NA,of no interest,NA
Epinephelus striatus,Chordata,Teleostei,Perciformes,Epinephelidae,Epinephelus,fish,Epinephelus,Nassau grouper,122,TL,reef-associated,1,90,fusiform / normal,oceanodromous,commercial,hooks and lines
Xenomystax congroides,Chordata,Teleostei,Anguilliformes,Congridae,Xenomystax,fish,Xenomystax,Bristletooth conger,87.5999984741211,TL,bathydemersal,140,825,eel-like,NA,NA,NA
Lutjanus analis,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Lutjanus,fish,Lutjanus,Mutton snapper,94,TL,reef-associated,25,95,fusiform / normal,NA,highly commercial,various gears
Elagatis bipinnulata,Chordata,Teleostei,Carangiformes,Carangidae,Elagatis,fish,Elagatis,Rainbow runner,180,TL,reef-associated,0,150,fusiform / normal,NA,highly commercial,hooks and lines
Diplodus bermudensis,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Diplodus,fish,Diplodus,Bermuda porgy,30,TL,benthopelagic,NA,NA,short and / or deep,NA,commercial,NA
Chilomycterus antillarum,Chordata,Teleostei,Tetraodontiformes,Diodontidae,Chilomycterus,fish,Chilomycterus,Web burrfish,30,TL,reef-associated,1,44,short and / or deep,NA,of no interest,NA
Decapterus tabl,Chordata,Teleostei,Carangiformes,Carangidae,Decapterus,fish,Decapterus,Roughear scad,50,TL,demersal,7,550,fusiform / normal,NA,minor commercial,trawls
Haemulon sciurus,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Haemulon,fish,Haemulon,Bluestriped grunt,46,TL,reef-associated,0,30,fusiform / normal,NA,minor commercial,traps
Diodon hystrix,Chordata,Teleostei,Tetraodontiformes,Diodontidae,Diodon,fish,Diodon,Spot-fin porcupinefish,91,TL,reef-associated,2,50,short and / or deep,NA,minor commercial,various gears
Diastobranchus capensis,Chordata,Teleostei,Anguilliformes,Synaphobranchidae,Diastobranchus,fish,Diastobranchus,Basketwork eel,180,TL,bathydemersal,183,2000,eel-like,NA,of no interest,NA
Ophidion barbatum,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Ophidion,fish,Ophidion,Snake blenny,25.399999618530273,TL,demersal,51,1456,elongated,NA,of no interest,NA
Acanthurus chirurgus,Chordata,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,fish,Acanthurus,Doctorfish,39,TL,reef-associated,2,25,short and / or deep,NA,minor commercial,traps
Bathygadus melanobranchus,Chordata,Teleostei,Gadiformes,Macrouridae,Bathygadus,fish,Bathygadus,Vaillant's grenadier,50,TL,bathydemersal,400,2600,elongated,non-migratory,of no interest,NA
Diaphus fragilis,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,fish,Diaphus,Fragile lantern fish,12.300000190734863,SL,bathypelagic,15,1313,elongated,oceanodromous,NA,NA
Sphagemacrurus grenadae,Chordata,Teleostei,Gadiformes,Macrouridae,Sphagemacrurus,fish,Sphagemacrurus,Pugnose grenadier,25,TL,bathypelagic,1000,1500,elongated,non-migratory,subsistence fisheries,trawls
Haemulon aurolineatum,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Haemulon,fish,Haemulon,Tomtate grunt,28,TL,reef-associated,30,70,fusiform / normal,NA,minor commercial,various gears
Prionotus stearnsi,Chordata,Teleostei,Perciformes,Triglidae,Prionotus,fish,Prionotus,Shortwing searobin,17.5,TL,demersal,37,300,elongated,NA,NA,NA
Diplogrammus pauciradiatus,Chordata,Teleostei,Callionymiformes,Callionymidae,Diplogrammus,fish,Diplogrammus,Spotted dragonet,5,TL,reef-associated,NA,NA,elongated,NA,commercial,NA
Ogilbia cayorum,Chordata,Teleostei,Ophidiiformes,Bythitidae,Ogilbia,fish,Ogilbia,Key brotula,6,SL,reef-associated,0,33,elongated,NA,of no interest,NA
Carcharhinus longimanus,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,fish,Carcharhinus,Oceanic whitetip shark,400,TL,pelagic-oceanic,0,1082,fusiform / normal,oceanodromous,commercial,various gears
Chaunax pictus,Chordata,Teleostei,Lophiiformes,Chaunacidae,Chaunax,fish,Chaunax,Pink frogmouth,40,TL,bathydemersal,200,1000,short and / or deep,NA,of no interest,NA
Archosargus probatocephalus,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Archosargus,fish,Archosargus,Sheepshead,91,TL,reef-associated,15,NA,short and / or deep,NA,commercial,hooks and lines
Parablennius marmoreus,Chordata,Teleostei,Blenniiformes,Blenniidae,Parablennius,fish,Parablennius,Seaweed blenny,8.5,TL,reef-associated,0,10,fusiform / normal,NA,of no interest, 
Lactophrys triqueter,Chordata,Teleostei,Tetraodontiformes,Ostraciidae,Lactophrys,fish,Lactophrys,Smooth trunkfish,47,TL,reef-associated,NA,50,short and / or deep,NA,minor commercial,traps
Cynoscion nebulosus,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Cynoscion,fish,Cynoscion,Spotted weakfish,100,TL,demersal,10,NA,fusiform / normal,non-migratory,commercial,seines
Sparisoma viride,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,Sparisoma,fish,Sparisoma,Stoplight parrotfish,64,TL,reef-associated,3,50,fusiform / normal,NA,minor commercial,traps
Polyacanthonotus challengeri,Chordata,Teleostei,Notacanthiformes,Notacanthidae,Polyacanthonotus,fish,Polyacanthonotus,Longnose tapirfish,60,TL,bathypelagic,777,4560,eel-like,NA,NA,NA
Trichopsetta ventralis,Chordata,Teleostei,Pleuronectiformes,Bothidae,Trichopsetta,fish,Trichopsetta,Sash flounder,20,TL,demersal,30,110,short and / or deep,NA,NA,NA
Acanthurus bahianus,Chordata,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,fish,Acanthurus,Barber surgeonfish,12.800000190734863,TL,reef-associated,2,80,short and / or deep,NA,commercial,NA
Serranus scriba,Chordata,Teleostei,Perciformes,Serranidae,Serranus,fish,Serranus,Painted comber,36,SL,demersal,5,150,fusiform / normal,NA,minor commercial,hooks and lines
Ocyurus chrysurus,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Ocyurus,fish,Ocyurus,Yellowtail snapper,86.30000305175781,TL,reef-associated,0,180,fusiform / normal,NA,commercial,seines
Parexocoetus hillianus,Chordata,Teleostei,Beloniformes,Exocoetidae,Parexocoetus,fish,Parexocoetus,Flyingfish,NA,NA,pelagic-neritic,0,NA,elongated,oceanodromous,NA,NA
Cruriraja rugosa,Chordata,Elasmobranchii,Rajiformes,Gurgesiellidae,Cruriraja,fish,Cruriraja,Rough leg skate,NA,NA,bathydemersal,366,1007,other,NA,NA,NA
Myrichthys breviceps,Chordata,Teleostei,Anguilliformes,Ophichthidae,Myrichthys,fish,Myrichthys,Sharptail eel,102,TL,reef-associated,0,9,eel-like,NA,NA,NA
Hypsoblennius hentz,Chordata,Teleostei,Blenniiformes,Blenniidae,Hypsoblennius,fish,Hypsoblennius,Feather blenny,10,TL,reef-associated,NA,NA,elongated,NA,of no interest,NA
Heteroconger luteolus,Chordata,Teleostei,Anguilliformes,Congridae,Heteroconger,fish,Heteroconger,Yellow garden eel,NA,NA,demersal,NA,33,eel-like,non-migratory,NA,NA
Epinephelus morio,Chordata,Teleostei,Perciformes,Epinephelidae,Epinephelus,fish,Epinephelus,Red grouper,125,TL,reef-associated,5,330,fusiform / normal,non-migratory,commercial,hooks and lines
Histiobranchus bathybius,Chordata,Teleostei,Anguilliformes,Synaphobranchidae,Histiobranchus,fish,Histiobranchus,Deep-water arrowtooth eel,137,NA,benthopelagic,295,5440,eel-like,NA,of no interest,NA
Nezumia sclerorhynchus,Chordata,Teleostei,Gadiformes,Macrouridae,Nezumia,fish,Nezumia,Roughtip grenadier,36,TL,bathypelagic,130,3200,elongated,non-migratory,minor commercial,trawls
Conger conger,Chordata,Teleostei,Anguilliformes,Congridae,Conger,fish,Conger,European conger,300,TL,demersal,0,1171,eel-like,oceanodromous,commercial,hooks and lines
Labichthys carinatus,Chordata,Teleostei,Anguilliformes,Nemichthyidae,Labichthys,fish,Labichthys,Shortgut fintail snipe eel,80,TL,bathypelagic,0,2000,eel-like,NA,NA,NA
Kaupichthys nuchalis,Chordata,Teleostei,Anguilliformes,Chlopsidae,Kaupichthys,fish,Kaupichthys,Collared eel,16,TL,reef-associated,NA,NA,eel-like,NA,NA,NA
Mycteroperca interstitialis,Chordata,Teleostei,Perciformes,Epinephelidae,Mycteroperca,fish,Mycteroperca,Yellowmouth grouper,84,TL,reef-associated,2,150,fusiform / normal,NA,commercial,hooks and lines
Mycteroperca microlepis,Chordata,Teleostei,Perciformes,Epinephelidae,Mycteroperca,fish,Mycteroperca,Gag,145,TL,reef-associated,30,160,fusiform / normal,oceanodromous,highly commercial,hooks and lines
Scarus taeniopterus,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,Scarus,fish,Scarus,Princess parrotfish,35,TL,reef-associated,2,25,fusiform / normal,NA,minor commercial,traps
Syngnathus pelagicus,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Syngnathus,fish,Syngnathus,Sargassum pipefish,18.100000381469727,SL,pelagic-neritic,NA,NA,eel-like,NA,commercial,NA
Steindachneria argentea,Chordata,Teleostei,Gadiformes,Steindachneriidae,Steindachneria,fish,Steindachneria,Luminous hake,40.5,TL,bathydemersal,400,500,elongated,NA,of no interest,NA
Diplodus argenteus,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Diplodus,fish,Diplodus,South American silver porgy,37.79999923706055,TL,reef-associated,0,NA,fusiform / normal,NA,minor commercial,traps
Lampanyctus tenuiformis,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,fish,Lampanyctus,Slender lanternfish,15.300000190734863,SL,bathypelagic,NA,1537,elongated,oceanodromous,NA,NA
Apogon pseudomaculatus,Chordata,Teleostei,Kurtiformes,Apogonidae,Apogon,fish,Apogon,Twospot cardinalfish,11,TL,reef-associated,1,100,fusiform / normal,NA,commercial,trawls
Lycodes eudipleurostictus,Chordata,Teleostei,Perciformes,Zoarcidae,Lycodes,fish,Lycodes,Doubleline eelpout,44.5,SL,demersal,25,1187,elongated,NA,NA,NA
Serranus atrobranchus,Chordata,Teleostei,Perciformes,Serranidae,Serranus,fish,Serranus,Blackear bass,19,TL,demersal,10,219,fusiform / normal,NA,NA,NA
Phycis phycis,Chordata,Teleostei,Gadiformes,Phycidae,Phycis,fish,Phycis,Forkbeard,65,TL,benthopelagic,13,614,fusiform / normal,non-migratory,minor commercial,trawls
Xyrichtys novacula,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Xyrichtys,fish,Xyrichtys,Pearly razorfish,38,TL,reef-associated,1,90,elongated,NA,minor commercial,NA
Hirundichthys affinis,Chordata,Teleostei,Beloniformes,Exocoetidae,Hirundichthys,fish,Hirundichthys,Fourwing flyingfish,33,TL,pelagic-neritic,0,100,elongated,oceanodromous,commercial,gillnets
Epinephelus lanceolatus,Chordata,Teleostei,Perciformes,Epinephelidae,Epinephelus,fish,Epinephelus,Giant grouper,270,TL,reef-associated,1,200,fusiform / normal,NA,subsistence fisheries,various gears
Sparisoma chrysopterum,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,Sparisoma,fish,Sparisoma,Redtail parrotfish,46,TL,reef-associated,1,15,fusiform / normal,NA,minor commercial,traps
Anchoa choerostoma,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,fish,Anchoa,Bermuda anchovy,7.5,SL,pelagic-neritic,0,50,elongated,NA,of potential interest,NA
Polyprion americanus,Chordata,Teleostei,Acropomatiformes,Polyprionidae,Polyprion,fish,Polyprion,Wreckfish,210,TL,demersal,40,600,fusiform / normal,oceanodromous,minor commercial,trawls
Caulophryne jordani,Chordata,Teleostei,Lophiiformes,Caulophrynidae,Caulophryne,fish,Caulophryne,Fanfin angler,11,TL,bathypelagic,100,1510,short and / or deep,NA,NA,NA
Gambusia affinis,Chordata,Teleostei,Cyprinodontiformes,Poeciliidae,Gambusia,fish,Gambusia,Mosquitofish,5.099999904632568,TL,benthopelagic,NA,NA,fusiform / normal,potamodromous,minor commercial,seines
Ameiurus catus,Chordata,Teleostei,Siluriformes,Ictaluridae,Ameiurus,fish,Ameiurus,White catfish,95,TL,demersal,NA,NA,fusiform / normal,potamodromous,NA,NA
Acanthostracion quadricornis,Chordata,Teleostei,Tetraodontiformes,Ostraciidae,Acanthostracion,fish,Acanthostracion,Scrawled cowfish,55,TL,reef-associated,1,80,short and / or deep,NA,minor commercial,traps
Spiniphryne gladisfenae,Chordata,Teleostei,Lophiiformes,Oneirodidae,Spiniphryne,fish,Spiniphryne,Prickly dreamer,NA,NA,bathypelagic,NA,1955,short and / or deep,NA,NA,NA
Oxyporhamphus similis,Chordata,Teleostei,Beloniformes,Hemiramphidae,Oxyporhamphus,fish,Oxyporhamphus,False halfbeak,18,SL,pelagic-neritic,0,NA,elongated,NA,commercial,NA
Diplectrum formosum,Chordata,Teleostei,Perciformes,Serranidae,Diplectrum,fish,Diplectrum,Sand perch,30,TL,reef-associated,1,80,fusiform / normal,NA,commercial,hooks and lines
Prognathodes guyanensis,Chordata,Teleostei,Acanthuriformes,Chaetodontidae,Prognathodes,fish,Prognathodes,French butterflyfish,13.600000381469727,TL,reef-associated,60,230,short and / or deep,NA,of no interest,NA
Diretmichthys parini,Chordata,Teleostei,Trachichthyiformes,Diretmidae,Diretmichthys,fish,Diretmichthys,Parin's spinyfish,40,TL,bathypelagic,0,2100,short and / or deep,NA,NA,trawls
Hippocampus reidi,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Hippocampus,fish,Hippocampus,Longsnout seahorse,17.5,OT,reef-associated,0,60,other,non-migratory,minor commercial,NA
Bellator militaris,Chordata,Teleostei,Perciformes,Triglidae,Bellator,fish,Bellator,Horned searobin,12.5,TL,demersal,40,110,fusiform / normal,NA,commercial,NA
Sparisoma aurofrenatum,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,Sparisoma,fish,Sparisoma,Redband parrotfish,28,TL,reef-associated,2,20,fusiform / normal,NA,minor commercial,traps
Melanostomias tentaculatus,Chordata,Teleostei,Stomiiformes,Stomiidae,Melanostomias,fish,Melanostomias,Tentacle dragonfish,24,SL,bathypelagic,30,950,elongated,NA,NA,NA
Bathyraja richardsoni,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,fish,Bathyraja,Richardson's ray,175,TL,bathydemersal,803,2500,other,NA,NA,NA
Nomeus gronovii,Chordata,Teleostei,Scombriformes,Nomeidae,Nomeus,fish,Nomeus,Man-of-war fish,39,TL,demersal,200,1000,fusiform / normal,NA,minor commercial,NA
Lycenchelys sarsii,Chordata,Teleostei,Perciformes,Zoarcidae,Lycenchelys,fish,Lycenchelys,Sar's wolf eel,20,TL,bathydemersal,150,600,eel-like,NA,NA,NA
Mycteroperca bonaci,Chordata,Teleostei,Perciformes,Epinephelidae,Mycteroperca,fish,Mycteroperca,Black grouper,150,TL,reef-associated,60,250,fusiform / normal,NA,highly commercial, 
Synodus intermedius,Chordata,Teleostei,Aulopiformes,Synodontidae,Synodus,fish,Synodus,Sand diver,46,TL,reef-associated,3,320,elongated,NA,minor commercial,NA
Rajella bathyphila,Chordata,Elasmobranchii,Rajiformes,Rajidae,Rajella,fish,Rajella,Deep-water ray,90,TL,bathydemersal,600,2300,other,NA,NA,NA
Lactophrys trigonus,Chordata,Teleostei,Tetraodontiformes,Ostraciidae,Lactophrys,fish,Lactophrys,Buffalo trunkfish,55,TL,reef-associated,2,50,short and / or deep,NA,commercial,traps
Ectreposebastes imus,Chordata,Teleostei,Perciformes,Setarchidae,Ectreposebastes,fish,Ectreposebastes,Midwater scorpionfish,18,SL,bathypelagic,150,2000,fusiform / normal,NA,minor commercial,trawls
Chilomycterus reticulatus,Chordata,Teleostei,Tetraodontiformes,Diodontidae,Chilomycterus,fish,Chilomycterus,Spotfin burrfish,69.69999694824219,NG,reef-associated,20,100,short and / or deep,NA,of no interest,trawls
Ogcocephalus nasutus,Chordata,Teleostei,Lophiiformes,Ogcocephalidae,Ogcocephalus,fish,Ogcocephalus,Shortnose batfish,38,TL,reef-associated,0,305,short and / or deep,NA,commercial,NA
Eucinostomus harengulus,Chordata,Teleostei,Eupercaria incertae sedis,Gerreidae,Eucinostomus,fish,Eucinostomus,Tidewater mojarra,15,NG,demersal,NA,NA,fusiform / normal,NA,NA,NA
Paralichthys lethostigma,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys,fish,Paralichthys,Southern flounder,83,TL,demersal,1,43,short and / or deep,NA,commercial,trawls
Epinephelus guttatus,Chordata,Teleostei,Perciformes,Epinephelidae,Epinephelus,fish,Epinephelus,Red hind,76,TL,reef-associated,100,NA,fusiform / normal,oceanodromous,highly commercial,hooks and lines
Squaliolus laticaudus,Chordata,Elasmobranchii,Squaliformes,Dalatiidae,Squaliolus,fish,Squaliolus,Spined pygmy shark,22,TL,bathypelagic,200,1200,elongated,oceanodromous,of no interest,NA
Gibberichthys pumilus,Chordata,Teleostei,Beryciformes,Gibberichthyidae,Gibberichthys,fish,Gibberichthys,Gibberfish,9.199999809265137,SL,bathypelagic,320,1100,fusiform / normal,NA,of no interest,NA
Scartella cristata,Chordata,Teleostei,Blenniiformes,Blenniidae,Scartella,fish,Scartella,Molly miller,12,TL,reef-associated,0,10,fusiform / normal,NA,of no interest,NA
Cyclopsetta fimbriata,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Cyclopsetta,fish,Cyclopsetta,Spotfin flounder,33,TL,reef-associated,20,230,short and / or deep,NA,minor commercial,trawls
Stephanolepis setifer,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Stephanolepis,fish,Stephanolepis,Pygmy filefish,20,TL,reef-associated,NA,80,short and / or deep,NA,subsistence fisheries,NA
Gigantura indica,Chordata,Teleostei,Aulopiformes,Giganturidae,Gigantura,fish,Gigantura,Telescopefish,26,TL,bathypelagic,17,2100,eel-like,NA,of no interest,NA
Emmelichthyops atlanticus,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Emmelichthyops,fish,Emmelichthyops,Bonnetmouth,13,TL,reef-associated,3,90,elongated,oceanodromous,NA,NA
Desmodema polystictum,Chordata,Teleostei,Lampriformes,Trachipteridae,Desmodema,fish,Desmodema,Polka-dot ribbonfish,110,TL,bathypelagic,0,500,elongated,NA,commercial,NA
Rouleina maderensis,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Rouleina,fish,Rouleina,Madeiran smooth-head,32,SL,bathypelagic,595,1450,elongated,NA,of no interest,NA
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Aetobatidae,Aetobatus,fish,Aetobatus,Whitespotted eagle ray,230,WD,benthopelagic,1,80,other,amphidromous,minor commercial,various gears
Seriola lalandi,Chordata,Teleostei,Carangiformes,Carangidae,Seriola,fish,Seriola,Yellowtail amberjack,250,TL,benthopelagic,3,825,fusiform / normal,NA,minor commercial,hooks and lines
Hypanus sabinus,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Hypanus,fish,Hypanus,Atlantic stingray,61,WD,demersal,2,25,other,NA,of no interest,seines
Microstoma microstoma,Chordata,Teleostei,Argentiniformes,Microstomatidae,Microstoma,fish,Microstoma,Slender argentine,21,TL,bathypelagic,NA,NA,elongated,NA,of no interest,NA
Scorpaena agassizii,Chordata,Teleostei,Perciformes,Scorpaenidae,Scorpaena,fish,Scorpaena,Longfin scorpionfish,20,TL,demersal,46,275,fusiform / normal,NA,NA,NA
Lutjanus apodus,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Lutjanus,fish,Lutjanus,Schoolmaster snapper,79.0999984741211,FL,reef-associated,2,63,fusiform / normal,NA,commercial,seines
Liparis montagui,Chordata,Teleostei,Perciformes,Liparidae,Liparis,fish,Liparis,Montagus seasnail,15.5,TL,demersal,0,30,elongated,non-migratory,of no interest,NA
Benthosema fibulatum,Chordata,Teleostei,Myctophiformes,Myctophidae,Benthosema,fish,Benthosema,Spinycheek lanternfish,10,TL,bathypelagic,0,2000,fusiform / normal,oceanodromous,of potential interest,NA
Chlopsis dentatus,Chordata,Teleostei,Anguilliformes,Chlopsidae,Chlopsis,fish,Chlopsis,Mottled false moray,19.899999618530273,TL,demersal,64,355,eel-like,NA,of no interest,NA
Macroramphosus gracilis,Chordata,Teleostei,Syngnathiformes,Centriscidae,Macroramphosus,fish,Macroramphosus,Slender snipefish,15,TL,pelagic-oceanic,50,500,short and / or deep,NA,NA,NA
Citharichthys macrops,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,fish,Citharichthys,Spotted whiff,20,TL,reef-associated,0,100,short and / or deep,NA,NA,NA
Dolopichthys pullatus,Chordata,Teleostei,Lophiiformes,Oneirodidae,Dolopichthys,fish,Dolopichthys,Lobed dreamer,NA,NA,bathypelagic,800,2000,short and / or deep,NA,NA,NA
Cantherhines macrocerus,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Cantherhines,fish,Cantherhines,American whitespotted filefish,46,TL,reef-associated,2,40,short and / or deep,NA,commercial,NA
Holacanthus tricolor,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,Holacanthus,fish,Holacanthus,Rock beauty,35,TL,reef-associated,3,92,short and / or deep,non-migratory,minor commercial,traps
Scarus iseri,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,Scarus,fish,Scarus,Striped parrotfish,35,TL,reef-associated,3,25,fusiform / normal,NA,minor commercial,traps
Hyporthodus nigritus,Chordata,Teleostei,Perciformes,Epinephelidae,Hyporthodus,fish,Hyporthodus,Warsaw grouper,230,TL,demersal,55,525,fusiform / normal,oceanodromous,commercial,hooks and lines
